Item,Region,Price
Pyerite,Esoteria,9.804473684210526315789473684
Pyerite,Fountain,11.2388
Pyerite,Cache,9.246666666666666666666666667
Pyerite,Heimatar,13.509115406865447153712367669
Pyerite,Tenal,17.641625
Pyerite,Deklein,209.92777777777777777777777778
Pyerite,Placid,11.847229096073517126148705096
Pyerite,The Citadel,12.172348969615478430128780776
Pyerite,Malpais,10.90375
Pyerite,Aridia,9.838082978723404255319148936
Pyerite,The Kalevala Expanse,10.826666666666666666666666667
Pyerite,Wicked Creek,132.06104166666666666666666666
Pyerite,Insmother,12.491608695652173913043478261
Pyerite,The Spire,8.01
Pyerite,Khanid,16.506464814814814814814814815
Pyerite,Essence,15.574278124149574779135989352
Pyerite,Verge Vendor,3638.1486954137968826813580207
Pyerite,Geminate,12.332222222222222222222222222
Pyerite,Lonetrek,12.138952432051131511133566995
Pyerite,Scalding Pass,8.33
Pyerite,Syndicate,11.169090909090909090909090909
Pyerite,Querious,10.381666666666666666666666667
Pyerite,Genesis,11.485805809023039415196277941
Pyerite,The Bleak Lands,11.144696969696969696969696970
Pyerite,Derelik,12.932038943355119825708061002
Pyerite,Molden Heath,13.115843596059113300492610838
Pyerite,Metropolis,23.38636112241943069594870875
Pyerite,Providence,250.42110089977851605758582503
Pyerite,Tash-Murkon,13.830115635295675611120080735
Pyerite,Domain,14.865088208284693406679910585
Pyerite,Delve,9.59019391025641025641025641
Pyerite,Detorid,11.711810101010101010101010101
Pyerite,The Forge,15.194948592801044322848009918
Mexallon,Lonetrek,46.827464478909327892805351495
Mexallon,Metropolis,71.50643437639033030893989449
Mexallon,Esoteria,49.146825396825396825396825397
Mexallon,Domain,67.619717468319607859465332333
Mexallon,Khanid,46.321929824561403508771929827
Mexallon,Curse,60.018819444444444444444444445
Mexallon,Scalding Pass,42.952857142857142857142857143
Mexallon,Black Rise,44.754166666666666666666666667
Mexallon,Sinq Laison,143.41270356125270961592648201
Mexallon,Providence,63.389954285714285714285714286
Mexallon,Essence,47.411414991035500783535438165
Mexallon,Stain,74.25
Mexallon,Insmother,57.2271875
Mexallon,Genesis,48.766098833368472837163539252
Mexallon,Delve,52.327272727272727272727272728
Mexallon,Oasa,62.70833333333333333333333333
Mexallon,Malpais,56.375714285714285714285714286
Mexallon,Cache,47.233333333333333333333333333
Mexallon,Immensea,53.385555555555555555555555555
Mexallon,Tribute,49.99
Mexallon,The Bleak Lands,42.25
Mexallon,Everyshore,46.488583451317895839586607108
Mexallon,Branch,77.0
Mexallon,Derelik,46.590014125457875457875457876
Mexallon,Detorid,62.823166666666666666666666665
Mexallon,Syndicate,81.10818181818181818181818182
Mexallon,Paragon Soul,46.8
Mexallon,Kador,46.808338293985824473629351678
Mexallon,Placid,45.070768253968253968253968254
Mexallon,The Citadel,44.892041775472887136504408209
Mexallon,Geminate,54.636666666666666666666666665
Mexallon,Tash-Murkon,189.00406788050449282333340304
Mexallon,Molden Heath,57.224863846153846153846153846
Mexallon,Solitude,48.226272727272727272727272727
Mexallon,The Kalevala Expanse,46.296666666666666666666666667
Mexallon,Fountain,58.93823529411764705882352941
Mexallon,Deklein,60.393879453879453879453879454
Mexallon,Devoid,46.53614040616246498599439776
Mexallon,Outer Passage,41.01
Mexallon,Tenerifis,43.0
Mexallon,Wicked Creek,71.12125
Mexallon,Kor-Azor,56.530080322061191626409017714
Mexallon,The Forge,73.680006254965771427309977481
Mexallon,Verge Vendor,5539.8646851811105962466454836
Mexallon,Fade,52.0
Mexallon,Heimatar,56.366220658633137630037112256
Isogen,Stain,125.428
Isogen,Molden Heath,130.61090909090909090909090909
Isogen,Fountain,136.43
Isogen,Everyshore,129.05429003087728416675785098
Isogen,Deklein,129.62668181818181818181818182
Isogen,Geminate,121.17909090909090909090909091
Isogen,Sinq Laison,140.91923857530092086566781236
Isogen,Querious,128.13857142857142857142857143
Isogen,The Citadel,142.2754951444872069872069872
Isogen,Solitude,146.40660714285714285714285714
Isogen,Black Rise,166.64529411764705882352941176
Isogen,Detorid,165.93333333333333333333333333
Isogen,Essence,144.13494660597067529031585515
Isogen,Immensea,151.01833333333333333333333333
Isogen,Branch,129.33333333333333333333333333
Isogen,Tash-Murkon,135.24246849998980488332799929
Isogen,Verge Vendor,132.82381457717977146129638798
Isogen,Lonetrek,149.24371715870122885647296669
Isogen,Delve,138.745
Isogen,Tenal,123.0
Isogen,Paragon Soul,108.188
Isogen,Domain,3252.701581410347462782747933
Isogen,Derelik,129.11533100917643251739361579
Isogen,Kador,129.49274509803921568627450981
Isogen,Wicked Creek,122.3675
Isogen,Cobalt Edge,122.6
Isogen,Aridia,109.0
Isogen,Providence,124.56547619047619047619047619
Isogen,Placid,131.88205803571428571428571428
Isogen,Insmother,133.58230769230769230769230769
Isogen,Kor-Azor,203.2240550179892571196919023
Isogen,Genesis,3558.274398868764677588207000
Isogen,Khanid,127.79410732714138286893704851
Isogen,Devoid,127.29886363636363636363636364
Isogen,Metropolis,136.30893937946912409807880845
Isogen,Malpais,129.222475
Isogen,Fade,120.0
Isogen,Curse,150.90881313131313131313131313
Isogen,Esoteria,109.50633728590250329380764163
Isogen,The Forge,179.60706390269626990140707364
Isogen,Period Basis,154.15384615384615384615384615
Isogen,Heimatar,133.81614447891760547388387139
Nocxium,Lonetrek,735.87665269604426987833197467
Nocxium,Black Rise,708.2
Nocxium,Metropolis,931.1698270948207505369617038
Nocxium,Cobalt Edge,661.4
Nocxium,Branch,791.42857142857142857142857145
Nocxium,Syndicate,667.46692307692307692307692308
Nocxium,Tenerifis,668.8661616161616161616161616
Nocxium,Geminate,756.8377777777777777777777778
Nocxium,Heimatar,794.6833847695637131090822497
Nocxium,Aridia,700.3688839285714285714285714
Nocxium,Derelik,778.7267622873151238001071149
Nocxium,Solitude,897.396
Nocxium,Khanid,702.47954545454545454545454547
Nocxium,The Citadel,760.2974980046891618077097374
Nocxium,Essence,780.16012515337331513802102035
Nocxium,Scalding Pass,638.57
Nocxium,Curse,689.19125
Nocxium,Esoteria,693.3123611111111111111111111
Nocxium,Kador,735.14733643671143671143671145
Nocxium,Impass,750.0
Nocxium,Placid,19243.407628676470588235294118
Nocxium,Verge Vendor,946.9249861081003341507543188
Nocxium,Tash-Murkon,701.31382783091676430094940138
Nocxium,Genesis,754.12214087219766576313431256
Nocxium,Providence,858.5948354838709677419354839
Nocxium,Fountain,840.1819444444444444444444444
Nocxium,Deklein,711.04364285714285714285714285
Nocxium,Molden Heath,1049.8357142857142857142857143
Nocxium,Domain,708.67817668082559894251811014
Nocxium,Wicked Creek,726.796
Nocxium,The Forge,852.3229063336890187472183025
