Item,Region,Price
Plagioclase,Metropolis,43.047202534619717908127611631
Plagioclase,Essence,38.469032182784791143924270859
Plagioclase,Derelik,25.383098888888888888888888889
Plagioclase,Kador,26.742
Plagioclase,Genesis,29.309097222222222222222222222
Plagioclase,The Citadel,46.059966097392815485382105298
Plagioclase,Solitude,42.668
Plagioclase,Heimatar,44.087132152637744743007900902
Plagioclase,Domain,38.822857142857142857142857143
Plagioclase,Tash-Murkon,44.495
Plagioclase,Wicked Creek,30.895
Plagioclase,Placid,40.279333333333333333333333333
Plagioclase,Lonetrek,45.82220142953537690379795643
Plagioclase,Everyshore,43.022585428391053391053391053
Plagioclase,The Forge,46.324846091356959836046660416
Plagioclase,Kor-Azor,3.1866666666666666666666666667
Plagioclase,Sinq Laison,44.125055855960445804195804195
Plagioclase,Verge Vendor,44.594193072084749031020960845
Plagioclase,Cobalt Edge,22.53
Plagioclase,Devoid,19.084983333333333333333333333
Spodumain,Cobalt Edge,750.03
Spodumain,Derelik,181.67
Spodumain,Essence,457.055
Spodumain,Wicked Creek,1147.7966666666666666666666667
Spodumain,Devoid,575.57333333333333333333333335
Spodumain,Verge Vendor,1180.222
Spodumain,The Forge,2018.506
Spodumain,Providence,1178.94165
Spodumain,Sinq Laison,2231.2825
Spodumain,Heimatar,400.045
Spodumain,Domain,1030.69
Kernite,Kor-Azor,179.92044507936507936507936508
Kernite,Solitude,160.0075
Kernite,Sinq Laison,174.49012854934273800733428062
Kernite,Domain,164.36339630298972752481382252
Kernite,Verge Vendor,164.83749198717948717948717949
Kernite,Khanid,147.95142857142857142857142857
Kernite,Providence,141.98
Kernite,The Citadel,163.66146666666666666666666667
Kernite,Derelik,156.95595516569200779727095517
Kernite,Placid,105.05
Kernite,Deklein,100.0
Kernite,Genesis,167.43401467461156414644786737
Kernite,Lonetrek,165.78335939931528166822284469
Kernite,Heimatar,144.60444444444444444444444444
Kernite,Essence,120.05316911764705882352941176
Kernite,Metropolis,155.78115750915750915750915751
Kernite,Black Rise,146.16
Kernite,The Forge,158.89059217891754402910589523
Kernite,Stain,589.0
Kernite,Fountain,171.0
Kernite,Kador,177.38633693050603678794263025
Kernite,Everyshore,120.12
Kernite,Wicked Creek,116.405
Kernite,Molden Heath,175.5
Kernite,Tash-Murkon,168.78940219622331691297208539
Kernite,Devoid,131.86139285714285714285714286
Hedbergite,Domain,380.68308508158508158508158508
Hedbergite,Wicked Creek,100.5
Hedbergite,Lonetrek,456.99333333333333333333333333
Hedbergite,Genesis,404.80833333333333333333333333
Hedbergite,Derelik,187.9175
Hedbergite,Metropolis,409.68111111111111111111111111
Hedbergite,Providence,426.6217142857142857142857143
Hedbergite,Insmother,408.445
Hedbergite,Everyshore,392.83000000000000000000000000
Hedbergite,Essence,319.646
Hedbergite,Sinq Laison,496.92932641612200435729847493
Hedbergite,Kador,375.56875
Hedbergite,Kor-Azor,10.02
Hedbergite,Devoid,240.3875
Hedbergite,Solitude,644.0075
Hedbergite,The Forge,502.38957516339869281045751635
Arkonor,Essence,1731.6546666666666666666666667
Arkonor,Everyshore,1411.25
Arkonor,Domain,2233.663897418300653594771242
Arkonor,Immensea,1100.0
Arkonor,Black Rise,1800.0
Arkonor,Molden Heath,2150.01
Arkonor,Tenal,0.01
Arkonor,The Bleak Lands,1.5
Arkonor,Sinq Laison,2274.035969042994042994042994
Arkonor,Kor-Azor,1183.5586111111111111111111111
Arkonor,Verge Vendor,1947.6644444444444444444444444
Arkonor,The Forge,2338.697845490196078431372549
Arkonor,Wicked Creek,1570.4725
Arkonor,Lonetrek,1675.4585571428571428571428571
Arkonor,Devoid,1055.628
Arkonor,Aridia,439.52
Arkonor,Derelik,766.44666666666666666666666663
Arkonor,Genesis,1837.6291666666666666666666668
Arkonor,Metropolis,1362.2899572649572649572649572
Arkonor,The Citadel,1416.8233333333333333333333333
Arkonor,Heimatar,1237.1898681318681318681318681
Arkonor,Providence,2168.1383333333333333333333334
Arkonor,Tash-Murkon,1094.2871428571428571428571429
Arkonor,Cobalt Edge,752.76
Tritanium,Devoid,3.9718311344211344211344211344
Tritanium,Period Basis,3.44
Tritanium,Geminate,3.23698
Tritanium,Stain,3.4692857142857142857142857143
Tritanium,Molden Heath,3.7777230836561099718994455837
Tritanium,Delve,3.9489913333333333333333333334
Tritanium,Outer Passage,2.6
Tritanium,Catch,3.115
Tritanium,Providence,3.934926562049062049062049062
Tritanium,Cache,0.48
Tritanium,Heimatar,3.9504689832020438572680872454
Tritanium,Verge Vendor,3.9761945116034900981137540277
